id,title,description,preconditions,postconditions,tags,priority,severity,type,behavior,automation,status,is_flaky,layer,steps_type,steps_actions,steps_result,steps_data,milestone_id,milestone,suite_id,suite_parent_id,suite,suite_without_cases,parameters
,,,,,,,,,,,,,,,,,,,,1,,Login,1
,,,,,,,,,,,,,,,,,,,,2,,Logout,1
,,,,,,,,,,,,,,,,,,,,3,,"Make Appointment",1
,,,,,,,,,,,,,,,,,,,,4,,Home,1
,,,,,,,,,,,,,,,,,,,,5,,History,1
,,,,,,,,,,,,,,,,,,,,6,,Profile,1
,,,,,,,,,,,,,,,,,,,,7,,Mail,1
,,,,,,,,,,,,,,,,,,,,8,,Facebook,1
,,,,,,,,,,,,,,,,,,,,9,,Twitter,1
1,"Login Success","Test login functionality","already registered","Redirect to ""Make Appointment"" page",,medium,normal,functional,positive,to-be-automated,actual,no,e2e,classic,"1. Access page
2. Click Button ""Make Appointment""
3. Input Username
4. Input Password
5. Click Button Login
","1. Show CURA Healthcare Service page
2. Redirect to login page
3. Username is appear
4. Password is appear
5. Successfully loged in, redirect to ""make appointment"" page.
","1. https://katalon-demo-cura.herokuapp.com/
2. https://katalon-demo-cura.herokuapp.com/profile.php#login
3. Valid Username
4. Valid Password
5. 
",,,1,,Login,,
2,"Login Failed; Wrong Username",,"Test login functionality","Showing error message:
Login failed! Please ensure the username and password are valid..",,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. Access Page
2. Click Button ""Make Appointment""
3. Input Invalid Username
4. Input valid Password
5. Click Button Login
","1. Show CURA Healthcare Service page
2. Redirect to login page
3. Username is appear
4. Password is appear
5. Showing error message:
Login failed! Please ensure the username and password are valid..
","1. https://katalon-demo-cura.herokuapp.com/
2. https://katalon-demo-cura.herokuapp.com/profile.php#login
3. Invalid Username
4. valid Password
5. 
",,,1,,Login,,
3,"Login Failed; Wrong Password",,"Test login functionality","Showing error message:
Login failed! Please ensure the username and password are valid..",,undefined,normal,other,undefined,to-be-automated,actual,no,unknown,classic,"1. Access Page
2. Click Button ""Make Appointment""
3. Input Valid Username
4. Input Invalid Password
5. Click Button Login
","1. Show CURA Healthcare Service page
2. Redirect to login page
3. Username is appear
4. Password is appear
5. Showing error message:
Login failed! Please ensure the username and password are valid..
","1. https://katalon-demo-cura.herokuapp.com/
2. https://katalon-demo-cura.herokuapp.com/profile.php#login
3. Valid Username
4. Invalid Password
5. 
",,,1,,Login,,
